playerid,total_spent_usd
478896,5160.22
478938,11329.039999999999
478989,10086.55
478993,3008.7999999999997
479059,279.94
479106,14935.32
479298,3874.24
479364,12325.93
479376,9234.28
479484,5159.7
479515,4537.98
479530,339.9
479656,6240.099999999999
479735,10172.699999999999
479879,3908.5
479990,24530.1
480010,5312.14
480015,1601.3799999999999
480041,7815.28
480103,499.78
480168,19564.28
480193,3340.62
480245,3326.44
480286,4191.92
480328,389.82
480359,5363.54
480362,5648.84
480374,2363.65
480375,2455.7999999999997
480457,13441.2
480577,999.62
480589,583.78
480590,1809.2
480608,8824.55
480624,4778.74
480627,519.8199999999999
480662,8037.26
480716,1665.46
480754,4679.96
480876,963.6800000000001
480906,163.92
480956,8011.099999999999
481067,1053.46
481159,323.92
481161,1866.96
481200,1975.44
481257,4307.76
481288,5025.68
481293,7510.16
481329,1341.4
481410,4150.42
481436,1829.18
481480,2518.92
481529,8736.34
481574,11569.16
481595,22477.13
481632,0.0
481659,8791.44
481685,2374.16
481695,1799.3999999999999
481772,431.82
481776,5575.21
481802,14276.42
481843,2120.24
481847,1267.3
481907,11543.24
481939,32829.25
481940,2979.06
481962,3904.32
482044,17735.93
482088,3307.18
482106,5055.0599999999995
482189,13321.22
482208,12404.83
482223,15159.26
482259,4856.22
482275,989.66
482279,16050.07
482357,2901.7799999999997
482408,1849.06
482414,8122.92
482420,10461.4
482442,3879.1299999999997
482445,35135.05
482496,2307.04
482501,4719.9
482505,5381.42
482579,7163.3
482601,2194.74
482680,2333.04
482691,8245.06
482701,9304.39
482718,14928.96
482725,309.88
482738,2835.22
482846,3983.6
482865,4142.4
482991,17089.31
483024,6955.68
483028,15234.51
483056,5493.68
483109,1033.5
483135,5552.88
483148,2045.03
483149,8396.02
483192,1863.2
483223,20631.329999999998
483255,4254.76
483271,8167.0599999999995
483280,8934.08
483355,9254.42
483369,7512.74
483385,9662.42
483422,43259.7
483436,840.39
483447,2311.83
483744,6211.23
483766,11785.09
483873,11923.27
483954,2263.04
483993,30864.85
484007,3746.2999999999997
484123,16887.64
484144,279.92
484191,6251.76
484205,10706.73
484246,15515.93
484319,12614.48
484393,5654.0
484427,1183.52
484454,11110.82
484473,9235.26
484483,823.62
484513,6932.599999999999
484516,239.92000000000002
484539,11795.58
484560,4116.66
484619,8237.68
484651,5238.2
484661,1675.36
484679,1105.54
484784,8865.539999999999
484817,13012.34
